006F	예쁘다…
14DD	오히려 감사했으면 하는군
1522	[CLEAR]
153B	과연…
1552	[CLEAR]
1569	창조주의 자부심이라는 건가
15B7	[CLEAR]
15CE	본래 거신계의 생명이란
161A	[CLEAR]
162F	내가 존재하기 위한<n>제물이자 양식
16A9	[CLEAR]
16CF	거신계란
16F9	그것들의 시체와 생명 에너지가<n>축적된 것에 지나지 않는다
178C	[CLEAR]
17A3	하지만 전능하다고 자만해도
17D6	네놈은 하이엔터에 의해<n>감옥섬에 갇혀 있었다!
1837	[CLEAR]
1847	그 정도의 존재다!
187B	[CLEAR]
1888	갇혀 있었다고?
18B7	[CLEAR]
18D6	나는 그저…
18F8	[CLEAR]
190A	쉬고 있었을 뿐이다
1947	[CLEAR]
1960	과거
1974	[CLEAR]
197E	메이너스의 그릇과의 싸움으로
19C0	[CLEAR]
19CD	나도 상처를 입었다
19FD	[CLEAR]
1A13	비전으로 본<n>새로운 그릇의 탄생…
1A6C	[CLEAR]
1A86	그날을<n>계속 기다려 온 것에 지나지 않는다
1AD4	[CLEAR]
1AF0	그게…
1B09	[CLEAR]
1B2C	나라고?
1B3F	[CLEAR]
1B4A	그렇다…
1B63	[CLEAR]
1B79	너의 몸을 얻어
1BA5	[CLEAR]
1BB6	나는 메이너스와의 싸움에<n>재차 임할 생각이었다
1C2D	[CLEAR]
1C39	하지만
1C4A	[CLEAR]
1C56	그것이 마지막이 될 거라고는<n>생각지 못했다
1CBE	[CLEAR]
1CD4	메이너스…
1CEB	[CLEAR]
1D5E	나에게 모나드를 가져온<n>공을 생각해서
1DC4	[CLEAR]
1DD1	그대를 새로운 사도로<n>임명하마…
1E30	[CLEAR]
1E52	슈르크여!
1E71	[CLEAR]
1E7A	거절한다!
1E8E	[CLEAR]
1EAA	너의 그릇도
1ECD	[CLEAR]
1EDC	사도도 될 생각은 없어!
1F06	[CLEAR]
1F24	나는 평범한 홈스로서<n>살아갈 뿐이야
1F68	[CLEAR]
1F85	네가 없는 세계에서!
1FB3	[CLEAR]
1FD1	…유감이군
1FFD	[CLEAR]
2013	모든 것을 나에게 맡기고
2050	평안한 시간을<n>보내면 될 것을
209D	[CLEAR]
20C1	하지만
20D2	[CLEAR]
20DE	그것이 지성체 되는 자의<n>숙명일지도 모르겠군
2144	[CLEAR]
2162	자신의 힘과
2189	[CLEAR]
2199	기술로 세계를<n>바꾸려고 하는 것은…
21DB	[CLEAR]
2206	오직 신에게만 허락된 일이다
2265	[CLEAR]
227E	그게 기신계를 멸망시킨 이유냐!
22C0	[CLEAR]
22DB	당연하다
22FE	[CLEAR]
230C	메이너스를 섬기고 있던
233E	마키나라는 자들
2375	[CLEAR]
2388	그들 또한<n>메이너스의 비호 아래
23DD	불손한 진화를<n>계속해 왔으니 말이지
2435	[CLEAR]
2465	그래서 다음은<n>우리 홈스 차례라는 소리냐!
24BA	[CLEAR]
24BF	그 말대로다…
24E5	[CLEAR]
24F9	홈스 또한
2524	위험한 종족이라는 것을
2565	너희가 증명하고 있지
25A6	[CLEAR]
25BE	유감이구나…
25E5	[CLEAR]
25F9	나는 벗을 원했다
263E	[CLEAR]
265E	그렇지만
2671	[CLEAR]
2689	생명에게 지성 따위를<n>주어서는 아니 되었다
26EB	[CLEAR]
2717	신이 벗을 원해서는<n>아니 됐던 것이다…
2777	[CLEAR]
27A5	아니야!
27BA	[CLEAR]
27F2	메이너스는<n>우리와 공존의 길을 선택했어
283E	[CLEAR]
2856	메이너스가<n>우리를 벗이라 부른다면
2894	[CLEAR]
28A5	기쁘게 받아들일 거야
28C7	[CLEAR]
28E3	하지만
28F2	[CLEAR]
2904	네가 원하는 건
2930	[CLEAR]
293C	친구 같은 게 아니라…
295B	[CLEAR]
2977	순종적인 하인이다!
299F	[CLEAR]
29B4	자신을 위한 먹이야!
29DD	[CLEAR]
29FB	역시
2A14	[CLEAR]
2A1C	너희에게 생각하는 마음은<n>과분했던 것 같구나
2AA0	[CLEAR]
2ABE	하지만
2ACD	[CLEAR]
2ADD	이제 곧 모든 것이 끝난다
2B20	[CLEAR]
2B36	테레시아가<n>거신계의 생명을 먹어 치우면
2B98	[CLEAR]
2BAB	그 후
2BC3	[CLEAR]
2BCC	나는 새로운 세계를 창세할 것이다
2C26	[CLEAR]
2C40	지금까지<n>몇 번이나 그렇게 해 왔던 것처럼
2CA1	[CLEAR]
2CAD	그렇겐 안 돼…
2CC3	[CLEAR]
2CD9	절대로!
2CF0	[CLEAR]
2D15	우리가 막아 내겠어!
2D41	[CLEAR]
B818	[CLEAR]
